,grupo_linha,faixa,faixa_15,stop_name,ordem,boardings,alightings,cum_board,cum_alight,carga_abordo,data,qtd_partidas
180,b1_b2_b3_volta,8,08:30–08:45,est_ita,9,31.5185185185185,0.0,190.498518518519,7.4,183.098518518519,2025-10-06,11.0
181,b1_b2_b3_volta,8,08:30–08:45,est_prq,10,23.25,1.37037037037037,213.748518518519,8.77037037037037,204.978148148148,2025-10-06,11.0
182,b1_b2_b3_volta,8,08:30–08:45,est_cid,11,33.0882352941176,7.17333333333333,246.836753812636,15.9437037037037,230.893050108932,2025-10-06,13.0
183,b1_b2_b3_volta,8,08:30–08:45,est_hip,12,48.8934010152284,66.982732648615,295.730154827865,82.9264363523187,212.803718475546,2025-10-06,13.0
184,b1_b2_b3_volta,8,08:30–08:45,est_rod,13,0.0,212.803718475546,295.730154827865,295.730154827865,0.0,2025-10-06,11.0
185,b1_b2_b3_volta,8,08:45–09:00,pt_bimba,1,31.3333333333333,0.0,31.3333333333333,0.0,31.3333333333333,2025-10-06,4.0
186,b1_b2_b3_volta,8,08:45–09:00,qua_ama,2,1.0,0.0,32.3333333333333,0.0,32.3333333333333,2025-10-06,4.0
187,b1_b2_b3_volta,8,08:45–09:00,pra_joao,3,9.0,3.25,41.3333333333333,3.25,38.0833333333333,2025-10-06,4.0
188,b1_b2_b3_volta,8,08:45–09:00,pt_largo,4,11.0,0.0,52.3333333333333,3.25,49.0833333333333,2025-10-06,4.0
189,b1_b2_b3_volta,8,08:45–09:00,pt_para,5,7.0,2.25,59.3333333333333,5.5,53.8333333333333,2025-10-06,3.0
190,b1_b2_b3_volta,8,08:45–09:00,pt_paraiba,6,0.0,4.25,59.3333333333333,9.75,49.5833333333333,2025-10-06,3.0
