grupo_linha,faixa,faixa_15,estacao_pico,carga_maxima,data,qtd_partidas
b3_ida,17,17:30–17:45,rua_bah,142.0,2025-10-06,4.0
b3_ida,17,17:45–18:00,rua_bah,148.651785714286,2025-10-06,4.0
b3_ida,18,18:00–18:15,rua_bah,204.483870967742,2025-10-06,3.0
b3_ida,18,18:15–18:30,rua_bah,167.0,2025-10-06,4.0
b3_ida,18,18:30–18:45,est_rod,78.7454233021989,2025-10-06,3.0
b3_ida,18,18:45–19:00,rua_bah,71.4,2025-10-06,3.0
b3_ida,19,19:00–19:15,rua_bah,60.0,2025-10-06,3.0
b3_ida,19,19:15–19:30,est_rod,55.4258656763412,2025-10-06,1.0
b3_ida,19,19:30–19:45,rua_bah,43.0,2025-10-06,1.0
b3_ida,19,19:45–20:00,rua_bah,29.0,2025-10-06,1.0
b3_ida,20,20:00–20:30,rua_bah,96.0,2025-10-06,2.0
b3_ida,20,20:30–21:00,rua_bah,46.0,2025-10-06,2.0
b3_ida,21,21:00–21:30,rua_bah,59.0,2025-10-06,2.0
b3_ida,21,21:30–22:00,rio_bra,47.1707317073171,2025-10-06,1.0
b3_ida,22,22:00–22:30,rua_bah,36.0,2025-10-06,2.0
b3_ida,22,22:30–23:00,rub_ber,9.0,2025-10-06,1.0
b3_ida,23,23:00–23:30,paulo_iv,3.0,2025-10-06,2.0
b4_ida,5,05:00–05:15,est_cdj,8.73676470588235,2025-10-06,
b4_ida,5,05:15–05:30,est_ped,12.3765056648778,2025-10-06,1.0
b4_ida,5,05:30–05:45,est_cdj,31.1858954811785,2025-10-06,1.0
b4_ida,5,05:45–06:00,est_ped,32.7656750572082,2025-10-06,1.0
b4_ida,6,06:00–06:15,est_cdj,51.879183689286,2025-10-06,1.0
b4_ida,6,06:15–06:30,est_cdj,52.5498825257219,2025-10-06,2.0
b4_ida,6,06:30–06:45,est_cdj,75.3154294477824,2025-10-06,1.0
b4_ida,6,06:45–07:00,est_cdj,95.8388795582416,2025-10-06,1.0
b4_ida,7,07:00–07:15,est_cdj,96.8070185911649,2025-10-06,1.0
b4_ida,7,07:15–07:30,est_cdj,109.122731378829,2025-10-06,2.0
b4_ida,7,07:30–07:45,est_cdj,105.377280587524,2025-10-06,1.0
b4_ida,7,07:45–08:00,est_cdj,71.7879182479918,2025-10-06,1.0
b4_ida,8,08:00–08:15,est_cdj,58.7202646841319,2025-10-06,1.0
b4_ida,8,08:15–08:30,est_cdj,76.3817497518972,2025-10-06,2.0
b4_ida,8,08:30–08:45,est_cdj,54.6595505569699,2025-10-06,1.0
b4_ida,8,08:45–09:00,est_cdj,48.044067370538,2025-10-06,1.0
b4_ida,9,09:00–09:30,est_cdj,66.1638651002781,2025-10-06,3.0
b4_ida,9,09:30–10:00,est_cdj,67.3844137302451,2025-10-06,2.0
b4_ida,10,10:00–10:30,est_cdj,76.1161016949153,2025-10-06,3.0
b4_ida,10,10:30–11:00,est_cdj,72.4851997101547,2025-10-06,2.0
b4_ida,11,11:00–11:30,est_cdj,103.754958684726,2025-10-06,3.0
b4_ida,11,11:30–12:00,est_cdj,68.082107040454,2025-10-06,2.0
b4_ida,12,12:00–12:30,est_cdj,101.973751328371,2025-10-06,3.0
b4_ida,12,12:30–13:00,est_cdj,90.9078442654816,2025-10-06,2.0
b4_ida,13,13:00–13:30,est_cdj,83.0466972569914,2025-10-06,3.0
b4_ida,13,13:30–14:00,est_cdj,79.4514407872264,2025-10-06,2.0
b4_ida,14,14:00–14:30,est_cdj,58.1549242424242,2025-10-06,3.0
b4_ida,14,14:30–15:00,est_cdj,71.1870009844148,2025-10-06,2.0
b4_ida,15,15:00–15:30,est_cdj,71.7239526637233,2025-10-06,3.0
b4_ida,15,15:30–16:00,est_cdj,72.6583862038618,2025-10-06,2.0
b4_ida,16,16:00–16:15,est_cdj,27.8146837682441,2025-10-06,1.0
b4_ida,16,16:15–16:30,est_cdj,33.2776117534164,2025-10-06,2.0
b4_ida,16,16:30–16:45,est_cdj,32.335903650962,2025-10-06,1.0
b4_ida,16,16:45–17:00,est_cdj,39.455424488507,2025-10-06,2.0
b4_ida,17,17:00–17:15,est_cdj,67.8433582082428,2025-10-06,2.0
b4_ida,17,17:15–17:30,est_cdj,52.8165267137063,2025-10-06,1.0
b4_ida,17,17:30–17:45,est_cdj,54.5633294544033,2025-10-06,3.0
b4_ida,17,17:45–18:00,est_cdj,53.9305565704543,2025-10-06,2.0
b4_ida,18,18:00–18:15,est_cdj,51.2749475086813,2025-10-06,1.0
b4_ida,18,18:15–18:30,est_cdj,50.6903543251048,2025-10-06,2.0
b4_ida,18,18:30–18:45,est_cdj,40.2444025131631,2025-10-06,2.0
b4_ida,18,18:45–19:00,est_cdj,20.6106430155211,2025-10-06,2.0
b4_ida,19,19:00–19:15,est_cdj,26.6799774455237,2025-10-06,1.0
b4_ida,19,19:15–19:30,est_cdj,18.3787878787879,2025-10-06,1.0
b4_ida,19,19:30–19:45,est_rvm,9.0,2025-10-06,1.0
b4_ida,19,19:45–20:00,est_lapa,9.16666666666667,2025-10-06,2.0
b4_ida,20,20:00–20:30,est_cdj,20.0703463203463,2025-10-06,2.0
b4_ida,20,20:30–21:00,est_rvm,11.8047619047619,2025-10-06,1.0
b4_ida,21,21:00–21:30,est_ped,10.4396825396825,2025-10-06,1.0
b4_ida,21,21:30–22:00,est_cdj,13.3809523809524,2025-10-06,2.0
b4_ida,22,22:00–22:30,est_cdj,9.16666666666667,2025-10-06,1.0
b4_ida,23,23:00–23:30,est_lapa,1.0,2025-10-06,1.0
b4_volta,5,05:00–05:15,est_prq,2.0,2025-10-06,1.0
b4_volta,5,05:15–05:30,est_prq,5.57142857142857,2025-10-06,2.0
b4_volta,5,05:30–05:45,est_pit,2.8,2025-10-06,1.0
b4_volta,5,05:45–06:00,est_prq,7.93211047860004,2025-10-06,1.0
b4_volta,6,06:00–06:15,est_prq,13.3237026131763,2025-10-06,1.0
b4_volta,6,06:15–06:30,est_prq,15.3560090702948,2025-10-06,1.0
b4_volta,6,06:30–06:45,est_prq,6.66666666666667,2025-10-06,2.0
b4_volta,6,06:45–07:00,est_prq,14.1923114073215,2025-10-06,1.0
b4_volta,7,07:00–07:15,est_prq,20.2673385111741,2025-10-06,1.0
b4_volta,7,07:15–07:30,est_prq,24.4471580398002,2025-10-06,1.0
b4_volta,7,07:30–07:45,est_prq,20.5102564102564,2025-10-06,1.0
b4_volta,7,07:45–08:00,est_prq,25.0211538461538,2025-10-06,1.0
b4_volta,8,08:00–08:15,est_prq,24.9993984510114,2025-10-06,2.0
b4_volta,8,08:15–08:30,est_prq,15.5984962406015,2025-10-06,1.0
b4_volta,8,08:30–08:45,est_prq,10.3150264550265,2025-10-06,2.0
b4_volta,8,08:45–09:00,est_prq,18.9540419676643,2025-10-06,1.0
b4_volta,9,09:00–09:30,est_prq,29.4982940789899,2025-10-06,2.0
b4_volta,9,09:30–10:00,est_prq,46.951073432615,2025-10-06,3.0
b4_volta,10,10:00–10:30,est_prq,25.8907094197792,2025-10-06,2.0
b4_volta,10,10:30–11:00,est_prq,33.0753256904638,2025-10-06,3.0
b4_volta,11,11:00–11:30,est_prq,40.7846677299309,2025-10-06,2.0
b4_volta,11,11:30–12:00,est_prq,43.2385622066493,2025-10-06,3.0
b4_volta,12,12:00–12:30,est_prq,44.5242946872623,2025-10-06,3.0
b4_volta,12,12:30–13:00,est_prq,30.8162456946039,2025-10-06,2.0
b4_volta,13,13:00–13:30,est_prq,30.2640573152338,2025-10-06,2.0
b4_volta,13,13:30–14:00,est_prq,20.4453295400664,2025-10-06,3.0
b4_volta,14,14:00–14:30,est_prq,33.091368006993,2025-10-06,3.0
b4_volta,14,14:30–15:00,est_prq,36.2058333333333,2025-10-06,2.0
b4_volta,15,15:00–15:30,est_prq,51.6608283118125,2025-10-06,3.0
b4_volta,15,15:30–16:00,est_prq,59.9736639569265,2025-10-06,2.0
b4_volta,16,16:00–16:15,est_prq,35.0610157699443,2025-10-06,1.0
b4_volta,16,16:15–16:30,est_prq,36.3068511198946,2025-10-06,1.0
b4_volta,16,16:30–16:45,est_prq,34.4381747638327,2025-10-06,2.0
b4_volta,16,16:45–17:00,est_prq,38.6471686268664,2025-10-06,2.0
b4_volta,17,17:00–17:15,est_prq,60.1281448526401,2025-10-06,1.0
b4_volta,17,17:15–17:30,est_prq,50.8151645074614,2025-10-06,2.0
b4_volta,17,17:30–17:45,est_prq,35.2392740044567,2025-10-06,2.0
b4_volta,17,17:45–18:00,est_prq,46.0088127327546,2025-10-06,2.0
b4_volta,18,18:00–18:15,est_prq,61.5214285340504,2025-10-06,2.0
b4_volta,18,18:15–18:30,est_prq,34.9819389485585,2025-10-06,2.0
b4_volta,18,18:30–18:45,est_prq,24.3674639580603,2025-10-06,2.0
b4_volta,18,18:45–19:00,est_prq,20.0689441662629,2025-10-06,2.0
b4_volta,19,19:00–19:15,est_prq,15.61029143898,2025-10-06,1.0
b4_volta,19,19:15–19:30,est_prq,14.2309463481338,2025-10-06,1.0
b4_volta,19,19:30–19:45,est_ita,6.6266149870801,2025-10-06,1.0
b4_volta,19,19:45–20:00,est_ita,7.81513062409289,2025-10-06,1.0
b4_volta,20,20:00–20:30,est_prq,13.577694235589,2025-10-06,2.0
b4_volta,20,20:30–21:00,est_ita,7.59558823529412,2025-10-06,2.0
b4_volta,21,21:00–21:30,est_prq,10.2685698447894,2025-10-06,1.0
b4_volta,21,21:30–22:00,est_prq,6.19907407407407,2025-10-06,1.0
b4_volta,22,22:00–22:30,est_prq,5.48319327731092,2025-10-06,2.0
b4_volta,22,22:30–23:00,est_prq,2.33333333333333,2025-10-06,1.0
b4_volta,23,23:00–23:30,est_pit,1.0,2025-10-06,1.0
b5_ida,5,05:00–05:15,est_cid,17.2813238770686,2025-10-06,2.0
b5_ida,5,05:15–05:30,est_cid,41.4653472740851,2025-10-06,1.0
b5_ida,5,05:30–05:45,est_cid,62.8079716642755,2025-10-06,1.0
b5_ida,5,05:45–06:00,est_hip,107.414419225634,2025-10-06,2.0
b5_ida,6,06:00–06:15,est_hip,139.105668349118,2025-10-06,2.0
b5_ida,6,06:15–06:30,est_cid,178.397257434976,2025-10-06,2.0
b5_ida,6,06:30–06:45,est_cid,161.692843730778,2025-10-06,2.0
b5_ida,6,06:45–07:00,est_cid,166.890034871245,2025-10-06,3.0
b5_ida,7,07:00–07:15,est_cid,200.752236354408,2025-10-06,3.0
b5_ida,7,07:15–07:30,est_cid,234.664022025748,2025-10-06,3.0
b5_ida,7,07:30–07:45,est_cid,234.565703379025,2025-10-06,3.0
b5_ida,7,07:45–08:00,est_cid,178.48138787749,2025-10-06,3.0
b5_ida,8,08:00–08:15,est_cid,147.228117084154,2025-10-06,3.0
b5_ida,8,08:15–08:30,est_hip,137.68870523416,2025-10-06,2.0
b5_ida,8,08:30–08:45,est_cid,108.872621754676,2025-10-06,2.0
b5_ida,8,08:45–09:00,est_cid,72.6134907888521,2025-10-06,2.0
b5_ida,9,09:00–09:30,est_cid,102.42573606054,2025-10-06,3.0
b5_ida,9,09:30–10:00,est_cid,106.322921926692,2025-10-06,3.0
b5_ida,10,10:00–10:30,est_cid,73.2602510801337,2025-10-06,3.0
b5_ida,10,10:30–11:00,est_cid,89.5544045585865,2025-10-06,3.0
b5_ida,11,11:00–11:30,est_cid,79.449011353489,2025-10-06,3.0
b5_ida,11,11:30–12:00,est_cid,84.6696013805004,2025-10-06,3.0
b5_ida,12,12:00–12:30,est_cid,102.304137402366,2025-10-06,4.0
b5_ida,12,12:30–13:00,est_cid,100.237975267804,2025-10-06,4.0
b5_ida,13,13:00–13:30,est_cid,84.2633315872184,2025-10-06,3.0
b5_ida,13,13:30–14:00,est_cid,99.0728799624149,2025-10-06,3.0
b5_ida,14,14:00–14:30,est_cid,56.9070857691547,2025-10-06,3.0
b5_ida,14,14:30–15:00,est_cid,87.7440476190476,2025-10-06,3.0
b5_ida,15,15:00–15:30,est_cid,66.8306127910088,2025-10-06,3.0
b5_ida,15,15:30–16:00,est_cid,81.054347826087,2025-10-06,3.0
b5_ida,16,16:00–16:15,est_cid,49.323777173913,2025-10-06,2.0
b5_ida,16,16:15–16:30,est_hip,43.0395136778115,2025-10-06,2.0
b5_ida,16,16:30–16:45,est_cid,50.5376249135356,2025-10-06,1.0
b5_ida,16,16:45–17:00,est_cid,65.5696176075025,2025-10-06,2.0
b5_ida,17,17:00–17:15,est_cid,99.999345448945,2025-10-06,2.0
b5_ida,17,17:15–17:30,est_cid,106.419752655318,2025-10-06,2.0
b5_ida,17,17:30–17:45,est_cid,116.825935320228,2025-10-06,2.0
b5_ida,17,17:45–18:00,est_cid,138.033638211382,2025-10-06,2.0
